accession	subject	region	tissue	PC1	PC2
GSM596842	27	PH	PH	-25.0942823536154	-45.0755714233255
GSM596843	27	CG	Contralateral	53.9475134644494	25.0820497635446
GSM596844	27	CW	Contralateral	-62.9127354949492	30.7015541988754
GSM596845	28	PH	PH	-64.9920698935057	-93.8713517320649
GSM596846	28	CG	Contralateral	94.58789568944	7.57164881967791
GSM596847	28	CW	Contralateral	-64.9252677895693	46.4012451329047
GSM596848	30	PH	PH	-76.7078956820445	-23.7643577450801
GSM596849	30	CG	Contralateral	80.0962463158468	-3.84019796706495
GSM596850	31	PH	PH	48.9864870236738	1.69318226303299
GSM596851	31	CG	Contralateral	92.6505723722875	-10.623322050373
GSM596852	31	CW	Contralateral	-75.6364636520139	65.7251207398731
