cluster	Microglia/macrophage	Monocyte	Neutrophil	T/NK	B	Platelet	Erythroid	Endothelial
g0	0.124638293291457	0.436437436117939	0.0226110774646068	0.000662755312468042	0.0413984456474434	0.0000335452007961376	0.314559537106972	0.0447322798279682
g1	1.09731275152804	2.17534796561129	52.8757258012714	0.010628729500302	0.532807907556854	0.00473541347708661	4.39182670152972	0.661479901515174
g2	0.15071322046727	0.396782841007664	0.0173055218660189	0.00109785333679648	0.0689546112910292	0.000124043877328791	0.0305256825595527	0.0575779155360343
g3	0.14967356221185	0.861904851993033	0.124438942209082	0.00337839163950873	0.045246859216737	0.00153984597263025	1.50027952858145	0.0236616041406404
g4	0.199823075781324	0.617568550219569	0.755162822305279	0.00927104197009954	0.0686465818488703	0.000299058340355849	7.80978465926608	0.0498434283290174
g5	11.6081842458461	1.18623046597296	0.892375591888399	0.0177221101301385	7.50760039471798	0.00311968727048484	0.205812336308349	0.0531657632215184
g6	21.6893834597188	0.732000846468511	0.113524407544921	0.00509946841627063	0.141041717359877	0.000426169007382596	1.19452792508059	0.0151989948628407
g7	1.07032967662753	0.809002197057741	5.69334790298336	0.0423921184806821	0.420812377862585	0.0486253791379795	57.2050455557432	0.0935363633406494
g8	32.9248500348388	2.65593032583179	2.03255028159031	0.0409961025598388	11.3144994971305	0.0024561565937987	4.90778634721059	0.123654654817983
g9	20.0975173024867	1.51757595163621	0.782364603555425	0.00449340212550921	10.6453914821997	0.000765434073832742	0.12536748812381	0.244655547097243
g10	0.348814460657854	0.556898502455107	0.488295397381872	5.71556089066504	1.29744063094368	0.00191048751134969	7.2411971441904	0.0715072577085739
g11	20.3662650483919	2.54211111310047	1.85934131723817	0.0289031076672061	15.5226136597531	0.00506823786177551	0.0951706077619488	0.0424270218335933
g12	16.245831746384	1.53559660765974	0.948524677717493	0.012093879232817	8.02060285492146	0.0162594337978817	0.333027641366696	0.217620054905041
g13	4.0995833459421	6.47217192765757	18.2505974162395	0.0434507412195841	4.93042008191914	0.878601280177473	2.69374580682967	0.419859507209059
g14	10.9072564144722	1.43759839266573	2.41728268936051	0.0586689653740294	5.63523909564088	0.00215417622242223	24.1044971822956	0.0410046368653081
g15	0.326344748618352	0.343202437050087	0.404767518443427	0.00778666405891631	0.131162695416255	0.17936445281983	10.7835404123985	0.0578264079699801
g16	0.371520948104146	0.16355880742586	0.149902576560151	0.00451254974720585	0.116897032584599	0.000686656898822672	1.40676653964091	0.0164790829668904
g17	19.9826499173043	4.6977315436347	0.851053896508688	0.0118164649144318	8.05913372269746	0.00613436974736416	0.114594250188484	0.308762219214799
g18	1.75661875960262	0.446014660653111	5.68050898619074	0.00414395777804299	0.614314462674756	0.00703251454683429	0.689609249709254	4.05239590549849
g19	20.6670863637317	3.55470225497217	1.08648090418212	0.0203713829632614	8.05819313653494	0.00123401964038348	0.222727107749023	0.0823737542868656
g20	0.761162336120312	0.21779013614266	1.62301216708649	0.0171970464025271	0.319467593807651	0	2357.20050911871	0.0299035772735192
g21	1.9661771584324	0.450225554717506	0.230837862654397	0.005649278419511	0.422808137299347	0.310661862465255	0.0683569645481653	0.0510951455828043
